CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,TTL_RECEIPTS
H6CA05195,"MATSUI, DORIS",I,DEM,CA,06,793272.75
H0CA06170,"BISH, CHRISTINE",C,REP,CA,06,15675.59
H0CA03078,"BERA, AMERISH",I,DEM,CA,07,1420562.94
H0CA07129,"BURDICK, JEFF",C,DEM,CA,07,26081.94
H0CA07137,"PATTERSON, ROBERT BUZZ",C,REP,CA,07,29438.19
H0CA07152,"IVY, JON",C,REP,CA,07,15050.28
H0CA08101,"BUBSER, CHRISTINE",O,DEM,CA,08,1149155.32
H0CA08143,"CONAWAY, ROBERT DEAN",O,DEM,CA,08,7470.57
H0CA08150,"ELLARS, JAMES ROBERT",O,DEM,CA,08,2056.2
H0CA08127,"STAAT, JEREMY",O,REP,CA,08,125797.96
H0CA08135,"OBERNOLTE, JAY",O,REP,CA,08,1617842.11
H2CA08164,"COOK, PAUL",I,REP,CA,08,347752.66
H8CA08120,"DONNELLY, TIMOTHY M.",O,REP,CA,08,212020.37
H0CA08168,"ESMUS, JEFF",O,NON,CA,08,21000
H4CA11081,"MCNERNEY, GERALD MARK",I,DEM,CA,09,876102.01
H0CA09109,"MARTINEK, WILLIAM CHARLES",C,REP,CA,09,19280
H0CA09125,"AMADOR, ANTONIO",C,REP,CA,09,15370
H0CA10289,"BLEVINS, RYAN",C,DEM,CA,10,6373.59
H2CA00096,"BARKLEY, MICHAEL JAMES MR.",C,DEM,CA,10,7792.19
H8CA10126,"HARDER, JOSH",I,DEM,CA,10,5529014.35
H0CA10248,"DOSSETT, CHARLES",C,REP,CA,10,17362.98
H0CA10263,"SOUSA LIVENGOOD, MARLA",C,REP,CA,10,139233.45
H0CA10271,"ELLIOTT, BOB",C,REP,CA,10,400558.96
H0CA19173,"DENHAM, JEFF",C,REP,CA,10,48330.59
H8CA10209,"HOWZE, TED D II",C,REP,CA,10,1060788.57
H0CA10073,"DESAULNIER, MARK",I,DEM,CA,11,415931.53
H0CA15262,"SHARMA, NISHA",O,REP,CA,11,81372.1
H0CA12111,"BACELAR, AGATHA",C,DEM,CA,12,81652.68
H0CA12129,"GALLAGHER, TOM",C,DEM,CA,12,15924
H8CA05035,"PELOSI, NANCY",I,DEM,CA,12,14445037.9
H8CA12262,"BUTTAR, SHAHID",C,DEM,CA,12,1136390.15
H0CA12137,"LORRAINE, DEANNA",C,REP,CA,12,263473.6
H8CA09060,"LEE, BARBARA",I,DEM,CA,13,1344188.6
H0CA13127,"PITERMAN, KONSTANTINE NIKKA-SHER",C,REP,CA,13,5634.85
H0CA14117,"GOODROW, CRISTOS JON",C,DEM,CA,14,15000
H8CA12171,"SPEIER, JACKIE",I,DEM,CA,14,595210.67
H0CA14109,"TAYLOR, ERIC",C,IND,CA,14,3159.55
H0CA15213,"WAHAB, AISHA",O,DEM,CA,15,69115.5
H0CA15221,"WIECKOWSKI, ROBERT",O,DEM,CA,15,14175
H0CA15254,"INTAL, AUSTIN",O,DEM,CA,15,1120.44
H2CA15094,"SWALWELL, ERIC MICHAEL",I,DEM,CA,15,2152759.51
H0CA16112,"WILLIAMS, KIM",C,DEM,CA,16,53242.48
H0CA16138,"SORIA, ESMERALDA",C,DEM,CA,16,429323.33
H0CA16120,"COOKINGHAM, KEVIN",C,REP,CA,16,126682.74
H4CA12055,"KHANNA, ROHIT",I,DEM,CA,17,3130974.25
H0CA17193,"TANDON, RITESH",C,REP,CA,17,85738.22
H0CA18068,"KUMAR, RISHI",C,DEM,CA,18,431833.14
H8CA12098,"ESHOO, ANNA G",I,DEM,CA,18,1682555.54
H0CA18084,"FOX, DR. RICHARD B",C,REP,CA,18,20222.37
H0CA19207,"TORRES, IVAN",C,DEM,CA,19,272.87
H4CA16049,"LOFGREN, ZOE",I,DEM,CA,19,1471361.51
H0CA39114,"CRUZ-LARA, IGNACIO ISRAEL",C,REP,CA,19,5614.99
H8CA19051,"AGUILERA, JUSTIN",C,REP,CA,19,960
H0CA20130,"BOLA?OS SCOW, ADAM",C,DEM,CA,20,122626.62
H4CA20082,"COSTA, JIM MR.",I,DEM,CA,20,1683214.93
H6CA20152,"PANETTA, JIMMY",I,DEM,CA,20,1351524.69
H0CA20122,"GORMAN, JEFF",C,REP,CA,20,47657.4
H8CA10167,"COX, TERRENCE JOHN (TJ)",I,DEM,CA,21,3204254.84
H2CA20094,"VALADAO, DAVID",C,REP,CA,21,2438214.64
H0CA22094,"REZVANI SARABI, AMIR DARYOUSH",C,DEM,CA,22,245760.8
H0CA22102,"ARBALLO, PHIL",C,DEM,CA,22,2624463.43
H8CA22154,"BLIATOUT, BOBBY",C,DEM,CA,22,712616.17
H8CA20059,"NUNES, DEVIN G.",I,REP,CA,22,16317299.81
H0CA22128,"HILL, HEMAN L",C,IND,CA,22,0
H0CA22110,"GARCIA, ERIC",C,NPA,CA,22,2971
H0CA23167,"MANGONE, KIM",C,DEM,CA,23,492038.62
H6CA22125,"MCCARTHY, KEVIN",I,REP,CA,23,16848452.66
H6CA24303,"CARBAJAL, SALUD O.",I,DEM,CA,24,1690368.05
H0CA24157,"CALDWELL, JAMES ANDREW",C,REP,CA,24,795372.17
H8CA24150,"WOODY, MICHAEL ERIN",C,REP,CA,24,4650
H0CA25154,"SMITH, CHRISTY",C,DEM,CA,25,3464305.63
H0CA25212,"VALDEZ-ORTEGA, ANIBAL MR.",C,DEM,CA,25,23576.8
H0CA25238,"COOPER, ROBERT",C,DEM,CA,25,11183.18
H0CA25097,"VALLADARES, SUZETTE MARTINEZ",C,REP,CA,25,33457.38
H0CA25105,"GARCIA, MICHAEL",I,REP,CA,25,4471031.7
H0CA25113,"UNDERWOOD JACOBS, ANGELA",C,REP,CA,25,262704.65
H0CA25121,"CRIPE, MARK",C,REP,CA,25,23282
H0CA25147,"PAPADOPOULOS, GEORGE",C,REP,CA,25,135023.92
H0CA25204,"LACKEY, COURTNEY",C,REP,CA,25,4718
H0CA25220,"LOZANO, DAVID",C,REP,CA,25,8745
H4CA25123,"KNIGHT, STEVE",C,REP,CA,25,266421.41
H0CA26137,"SALAS, ROBERT LAMBERT MR.",C,DEM,CA,26,7640.85
H2CA00120,"BROWNLEY, JULIA",I,DEM,CA,26,1473236.87
H0CA26129,"GOLDEN, CRYSTAL MARIE",C,REP,CA,26,213.3
H0CA26145,"KENNEDY, RONDA",C,REP,CA,26,174906.97
H0CA32101,"CHU, JUDY",I,DEM,CA,27,794797.86
H0CA27127,"NALBANDIAN, JOHNNY",C,REP,CA,27,20602.21
H0CA27085,"SCHIFF, ADAM",I,DEM,CA,28,12350322.37
H0CA28174,"PUDLO, G MAEBE A. GIRL",C,DEM,CA,28,7940.38
H0CA28182,"EARLY, ERIC",C,REP,CA,28,1477895
H0CA28141,"BARBOSA, JENNIFER",C,IND,CA,28,366558.05
H0CA29131,"GUZIK, MICHAEL R",C,DEM,CA,29,2505
H2CA28113,"CARDENAS, TONY",I,DEM,CA,29,946473.09
H8CA29100,"DUENAS, ANGELICA MARIA",C,DEM,CA,29,23265.75
H0CA30162,"BERINA, COURTNEY JAMES",C,DEM,CA,30,2868.63
H0CA30170,"KAHN, PAULA",C,DEM,CA,30,1197
H4CA30123,"RAB, AEJAZ (RAJI)",C,DEM,CA,30,10000
H6CA24113,"SHERMAN, BRAD",I,DEM,CA,30,962191.14
H0CA30154,"COLLIN, SUSAN",C,IND,CA,30,0
H2CA31125,"AGUILAR, PETE",I,DEM,CA,31,1889653.72
H0CA31129,"GIBBONEY, AGNES",C,REP,CA,31,92462.93
H0CA32333,"GONZALES, EMANUEL LAWRENCE MR",C,DEM,CA,32,5812
H0CA32341,"KASHIFALGHITA, MESHAL 'KASH'",C,DEM,CA,32,30740.32
H8CA32062,"LUTZ, MARY ANN",C,DEM,CA,32,34769.22
H8CA32070,"QUINTERO, ANDRE",C,DEM,CA,32,1000
H8CA34068,"NAPOLITANO, GRACE",I,DEM,CA,32,357774.44
H8CA32088,"SCOTT, JOSHUA",C,REP,CA,32,5217.41
H4CA33119,"LIEU, TED",I,DEM,CA,33,1276266.64
H0CA33216,"LIEW, SARAH SUN",C,REP,CA,33,103050
H0CA48156,"BRADLEY, JAMES P.",C,REP,CA,33,35560.16
H6CA33106,"WRIGHT, KENNETH",C,REP,CA,33,18227.18
H0CA33208,"FRICKE, BRANDON",C,NPA,CA,33,35908.06
H0CA34115,"MOTIWALLA, FRANCES YASMEEN",C,DEM,CA,34,93286.43
H0CA34131,"KIM, DAVID",C,DEM,CA,34,81202.7
H8CA34266,"GOMEZ, JIMMY",I,DEM,CA,34,946179.08
H0CA34149,"WRIGHT, JOANNE",C,REP,CA,34,32291.15
H0CA34123,"PITTMAN, SHANNEL MS",C,GRE,CA,34,1421.83
H4CA35031,"TORRES, NORMA",I,DEM,CA,35,486652.24
H0CA35146,"CARGILE, MIKE",C,REP,CA,35,16138
H2CA36439,"RUIZ, RAUL DR.",I,DEM,CA,36,1843543.69
H0CA36177,"RUIZ, RAUL",C,REP,CA,36,14044.19
H0CA36185,"STEVANOVICH, MILO MILUTIN",C,REP,CA,36,41805
H0CA36193,"CRUZ, ERIN",C,REP,CA,36,6452.82
H0CA33117,"BASS, KAREN",I,DEM,CA,37,1592398.63
H0CA37167,"WEBBER, ERROL MR.",C,REP,CA,37,29433.54
H0CA37175,"THOMPSON, LARRY",C,NPA,CA,37,181349.65
H2CA39078,"SANCHEZ, LINDA",I,DEM,CA,38,878898.93
H2CA39136,"CHEN, JAY",C,DEM,CA,39,0
H8CA39174,"CISNEROS, GILBERT",I,DEM,CA,39,2647701.48
H8CA39240,"KIM, YOUNG",C,REP,CA,39,3134667.61
H0CA40120,"FELIX, ANTHONY DR. JR.",C,DEM,CA,40,5780
H2CA33048,"ROYBAL-ALLARD, LUCILLE",I,DEM,CA,40,582399.91
H0CA40138,"DELGADO, ANTONIO",C,REP,CA,40,30725
H8CA40206,"CORTES BARRAGAN, RODOLFO",C,GRE,CA,40,5564.14
H0CA40104,"RIVERA, JUAN LUIS",C,LIB,CA,40,0
H0CA49113,"WILLIAMS, GRACE I DR",C,DEM,CA,41,40696.28
H2CA43245,"TAKANO, MARK",I,DEM,CA,41,817148.57
H8CA41170,"SMITH, AJA",C,REP,CA,41,171756.29
H0CA42217,"O'MARA, WILLIAM EDWARD DR IV",C,DEM,CA,42,56911.66
H0CA42233,"MARSTON, REGINA L MRS",C,DEM,CA,42,22658.08
H8CA42228,"PEACOCK, JULIA C.",C,DEM,CA,42,27524.86
H0CA42225,"FRITZ, DAVID",C,REP,CA,42,0
H2CA37023,"CALVERT, KEN",I,REP,CA,42,1101055.26
H4CA23011,"WATERS, MAXINE",I,DEM,CA,43,1193330.74
H0CA43108,"COLLINS, JOE",C,REP,CA,43,3165012.88
H6CA44145,"NAVARRO, OMAR",C,REP,CA,43,602714.71
H0CA44148,"MCDONALD TRANI, ANNETTE",C,DEM,CA,44,3220
H6CA44103,"BARRAGAN, NANETTE",I,DEM,CA,44,855634.75
H0CA44189,"EARLEY, BILLY",C,REP,CA,44,29579.95
H0CA45145,"PAI, ADITYA",C,DEM,CA,45,34823.2
H8CA45130,"PORTER, KATHERINE",I,DEM,CA,45,8199531.54
H8CA45189,"FORDE, BRIAN",C,DEM,CA,45,954
H0CA45087,"SEDGWICK, DONALD M",C,REP,CA,45,895705.07
H0CA45095,"HUANG, PEGGY",C,REP,CA,45,491951.38
H0CA45103,"GENNAWEY, RAY",C,REP,CA,45,77674
H0CA45111,"WOOLWORTH, BRENTON",C,REP,CA,45,10559
H0CA45129,"SPARKS, LISA",C,REP,CA,45,519919.43
H0CA45160,"GONZALES, CHRISTOPHER JOHN",C,REP,CA,45,37892
H4CA45089,"RATHS, GREGORY GERARD",C,REP,CA,45,751558.12
H4CA45097,"WALTERS, MIMI",C,REP,CA,45,909.85
H0CA46085,"MENDIOLEA, PABLO",C,DEM,CA,46,1003
H6CA46116,"CORREA, LOU",I,DEM,CA,46,882122.31
H0CA46077,"WATERS, JAMES STEVENS",C,REP,CA,46,6387
H0CA47158,"ROSHAN, SHAWN",C,DEM,CA,47,1699
H0CA47166,"MATHEWS, PETER",C,DEM,CA,47,34851.24
H2CA00104,"LOWENTHAL, ALAN",I,DEM,CA,47,498583.18
H0CA47133,"MOUA, SOU",C,REP,CA,47,9325
H0CA47141,"WEST, AMY PHAN",C,REP,CA,47,39395.98
H8CA47078,"BRISCOE, JOHN",C,REP,CA,47,37373.91
H8CA48035,"ROUDA, HARLEY E JR",I,DEM,CA,48,3907670.37
H8CA48076,"KEIRSTEAD, HANS",C,DEM,CA,48,0
H0CA48172,"BURLEY, BRIAN J MR.",C,REP,CA,48,145320.6
H0CA48198,"STEEL, MICHELLE",C,REP,CA,48,3374450.6
H0CA48206,"ENGELS, CHRISTOPHER MICHAEL",C,REP,CA,48,8500
H6CA48245,"BAUGH, SCOTT",C,REP,CA,48,59503.16
H8CA49058,"LEVIN, MIKE",I,DEM,CA,49,2953603.22
H0CA49121,"KNOBLOCK, STEVEN CRAIG",C,REP,CA,49,0
H0CA49139,"FORTIN, MARA",C,REP,CA,49,54828.01
H8CA49108,"MARYOTT, BRIAN L MR",C,REP,CA,49,1751228.69
H0CA50103,"BALKIN, ALEX",O,DEM,CA,50,44829.95
H0CA53131,"CALDERON, MARISA",O,DEM,CA,50,119456.2
H8CA50098,"CAMPA-NAJJAR, AMMAR",O,DEM,CA,50,3043704.6
H0CA50111,"WILSKE, LARRY A MR.",O,REP,CA,50,466532.54
H0CA50129,"ABED, SAM",O,REP,CA,50,35248
H0CA50145,"DEMAIO, CARL",O,REP,CA,50,3056395.11
H0CA50178,"ISSA, DARRELL",O,REP,CA,50,8221308.08
H0CA50202,"WILKINS, NATHAN ""NATE""",O,REP,CA,50,4800
H8CA50163,"WELLS, WILLIAM DANIEL",O,REP,CA,50,53069
H8CA52037,"JONES, BRIAN W",O,REP,CA,50,247831.59
H8CA52052,"HUNTER, DUNCAN D",I,REP,CA,50,1712829.12
H0CA50137,"EDICK, DAVID DANIEL JR",O,NNE,CA,50,2180.13
H2CA50026,"VARGAS, JUAN CARLOS",I,DEM,CA,51,549255.53
H0CA51051,"RODRIGUEZ, SAUL ALEJANDRO",C,REP,CA,51,300
H8CA51062,"HIDALGO, JUAN M SGTMAJ JR",C,REP,CA,51,23571.12
H0CA52067,"CASADY, NANCY LEE",C,DEM,CA,52,13065.55
H2CA52089,"PETERS, SCOTT",I,DEM,CA,52,1515380.19
H0CA52083,"DEBELLO, JAMES",C,REP,CA,52,308945
H0CA52075,"CUNNINGHAM, RYAN BARRETT",C,NPA,CA,52,20526.9
H0CA49055,"DAVIS, SUSAN A.",I,DEM,CA,53,106744.04
H0CA53073,"RAMON CABALLERO, JOSE IIII",O,DEM,CA,53,21278.85
H0CA53081,"VAZQUEZ, JOAQUIN",O,DEM,CA,53,20256.96
H0CA53099,"FIELDS, ZACK",O,DEM,CA,53,46977.4
H0CA53107,"GOMEZ, GEORGETTE",O,DEM,CA,53,1168600.61
H0CA53115,"JACOBS, SARA",O,DEM,CA,53,3574043.86
H0CA53123,"GOLDBECK, JANESSA",O,DEM,CA,53,327169.41
H0CA53156,"FOX, DEVORAH ANN DR. PSY.D",O,DEM,CA,53,150
H0CA53164,"MEZA, ANNETTE",O,DEM,CA,53,10674.1
H0CA53172,"BROOKS II, JOHN L",O,DEM,CA,53,12000
H0CA53180,"KUTNER, ERIC ROGER",O,DEM,CA,53,8176.02
H0CA53222,"FOUNTAIN, JOSEPH DR.",O,DEM,CA,53,40000
H0CA53230,"WONG, TOM K",O,DEM,CA,53,116472.44
H0CA53248,"SANTORI, SUZETTE",O,DEM,CA,53,6215.1
H0CA52059,"RAMOS, FAMELA SALDANA",O,REP,CA,53,52926.11
H0CA53214,"ORISTIAN, MICHAEL PATRICK",O,REP,CA,53,18601.81
H0CO01136,"DURAN, CRISANTA DESIRAE",C,DEM,CO,01,176499.6
H6CO01141,"DEGETTE, DIANA L",I,DEM,CO,01,862780.79
H8CO02160,"NEGUSE, JOSEPH",I,DEM,CO,02,963307.92
H0CO02225,"WINN, CHARLES E. DR",C,REP,CO,02,24900
H0CO02209,"JOHNSON, ALEX",C,IND,CO,02,4531.88
H0CO03132,"VALDEZ, DONALD",C,DEM,CO,03,26229.58
H8CO03192,"MITSCH BUSH, DIANE MS.",C,DEM,CO,03,1122457.55
H8CO03234,"ROUTLEDGE, ROOT",C,DEM,CO,03,7329.1
H0CO03165,"BOEBERT, LAUREN",C,REP,CO,03,151974.92
H6CO03139,"TIPTON, SCOTT R.",I,REP,CO,03,1282635.3
H0CO03173,"MILTON, CHRISTOPHER HAWKINS CRITTER",C,UNI,CO,03,10862.46
H0CO04197,"MCCORKLE, ISAAC IAN",C,DEM,CO,04,126504.45
H4CO04090,"BUCK, KENNETH R",I,REP,CO,04,304825.82
H0CO05129,"FREELAND, JILLIAN",C,DEM,CO,05,50036.31
H0CO05145,"LUCAS, RYAN",C,DEM,CO,05,12500
H6CO05159,"LAMBORN, DOUGLAS",I,REP,CO,05,433347.36
H8CO05171,"MURPHY, MARCUS",,UN,CO,05,5515.36
H8CO06229,"CROW, JASON",I,DEM,CO,06,2937040.58
H8CO06294,"KULIKOWSKI, JAIMIE",C,DEM,CO,06,72293.23
H0CO06119,"HOUSE, STEVEN",C,REP,CO,06,809032.98
H0CO06127,"SZEMLER, JOHN FRANCIS",C,REP,CO,06,0
H6CO07023,"PERLMUTTER, EDWIN G",I,DEM,CO,07,1083628.13
H0CO06101,"STOCKHAM, CASPER WESLEY",C,REP,CO,07,41731.66
H0CO07091,"MALGIERI, ANTHONY",C,NNE,CO,07,300
H8CT01046,"LARSON, JOHN B",I,DEM,CT,01,1008168.64
H0CT01126,"FAY, MARY",C,REP,CT,01,6195
H0CT01134,"GRIFFIN, JAMES LEONARD",,REP,CT,01,16949.48
H2CT02112,"COURTNEY, JOSEPH D",I,DEM,CT,02,684125.89
H0CT02199,"GILMER, THOMAS M",C,REP,CT,02,75887.4
H0CT02207,"ANDERSON, JUSTIN",C,REP,CT,02,51733.62
H0CT03072,"DELAURO, ROSA L",I,DEM,CT,03,1062413
H0CT03155,"STREICKER, MARGARET",C,REP,CT,03,648226.54
H0CT03163,"PAGLINO, JUSTIN COBB DR MD, PHD",,GRE,CT,03,4860.02
H8CT04172,"HIMES, JIM",I,DEM,CT,04,1067239.62
H0CT04195,"RIDDLE, JONATHAN",C,REP,CT,04,14936.47
H0CT04229,"GOLDSTEIN, MICHAEL TED",C,REP,CT,04,28215
H8CT05245,"HAYES, JAHANA",I,DEM,CT,05,1332478.14
H0CT05192,"RODRIGUEZ, RUBEN",C,REP,CT,05,3782.54
H0CT05200,"SULLIVAN, DAVID XAVIER",C,REP,CT,05,234859.9
H0CT05226,"HYDE, ROBERT FINLEY",C,REP,CT,05,28165.96
H0CT05234,"MEEHAN, RYAN",C,REP,CT,05,39907
H0DC00058,"NORTON, ELEANOR HOLMES",I,DEM,DC,00,252998.98
H0DC01015,"KRUCOFF, DAVID",C,IND,DC,00,7466.38
H6DE00206,"BLUNT ROCHESTER, LISA",I,DEM,DE,00,1065323.25
H8DE01044,"MURPHY, LEE",C,REP,DE,00,49755.58
H0DE04011,"PEREZ DE VILLA-AMIL, CARLOS ALBERTO GONZALEZ",,IND,DE,00,153.14
H8FL01107,"EHR, PHILLIP CHARLES",C,DEM,FL,01,784927.95
H0FL01120,"ROMAGNANO, CHASE ANDERSON ANDY REV.",C,REP,FL,01,50
H0FL01146,"MERK, GREGORY CHARLES",C,REP,FL,01,16333.6
H6FL01119,"GAETZ, MATT",I,REP,FL,01,3029930.2
H6FL01143,"MILLS, RALPH JOHN III",C,REP,FL,01,22554.12
H0FL01153,"ORAM, ALBERT",C,NPA,FL,01,8000
H0FL02219,"THRIPP, KRISTY",C,DEM,FL,02,115
H6FL02208,"DUNN, NEAL PATRICK MD, FACS",I,REP,FL,02,423336.7
H0FL03183,"CHRISTENSEN, ADAM J",O,DEM,FL,03,20012.13
H2FL03130,"DODDS, PHILIP BENJAMIN",O,DEM,FL,03,59124.81
