Candidate,Status_of_Candidate,Specific_Party,Election_Jurisdiction,Election_Year,Office_Sought,Incumbency_Status,#_of_Records,Total_$
"LENZ, SHELLEY & VIG, BEN",Won,DEMOCRATIC-NPL,ND,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,0,0
"HENDRICKSON, DUWAYNE & VOYTEK, JOSHUA",Won,LIBERTARIAN,ND,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,0,0
"FELTES, DANIEL (DAN)",Pending,DEMOCRATIC,NH,2020,GOVERNOR,Open,2652,402891.46
"SUNUNU, CHRISTOPHER (CHRIS)",Pending,REPUBLICAN,NH,2020,GOVERNOR,Incumbent,280,344814.25
"VOLINSKY, ANDRU H (ANDY)",Pending,DEMOCRATIC,NH,2020,GOVERNOR,Open,7412,270328.88
"TESTERMAN, KAREN",Pending,REPUBLICAN,NH,2020,GOVERNOR,Challenger,0,0
"FAGAN, SHEMIA",Won,DEMOCRATIC,OR,2020,SECRETARY OF STATE,Open,194,941416.05
"ROSENBLUM, ELLEN F",Won,DEMOCRATIC,OR,2020,ATTORNEY GENERAL,Incumbent,814,431112.15
"THATCHER, KIM",Won,REPUBLICAN,OR,2020,SECRETARY OF STATE,Open,210,134572.16
"CROSS, MICHAEL",Won,REPUBLICAN,OR,2020,ATTORNEY GENERAL,Open,0,0
"SHAPIRO, JOSHUA D (JOSH)",Won,DEMOCRATIC,PA,2020,ATTORNEY GENERAL,Incumbent,2811,5502201.22
"HEIDELBAUGH, HEATHER",Won,REPUBLICAN,PA,2020,ATTORNEY GENERAL,Open,188,434653.91
"WASSMER, DANIEL",Pending,LIBERTARIAN,PA,2020,ATTORNEY GENERAL,Open,0,0
"WEISS, RICHARD L",Pending,GREEN,PA,2020,ATTORNEY GENERAL,Open,0,0
"COX, SPENCER J & HENDERSON, DEIDRE M",Won,REPUBLICAN,UT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,5207,3000859
"PETERSON, CHRIS & BROWN, KARINA",Won,DEMOCRATIC,UT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,262,57490.39
"DUERDEN, GREG",Pending,INDEPENDENT AMERICAN,UT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,6,9134.17
"COTTAM, DANIEL RHEAD",Pending,LIBERTARIAN,UT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,1,800
"WHITNEY, RICHARD T",Pending,UNAFFILIATED,UT,2020,GOVERNOR / LIEUTENANT GOVERNOR,Open,0,0
"REYES, SEAN D",Won,REPUBLICAN,UT,2020,ATTORNEY GENERAL,Incumbent,481,1451741.85
"SKORDAS, GREGORY (GREG)",Won,DEMOCRATIC,UT,2020,ATTORNEY GENERAL,Open,489,178535.91
"BAUTISTA, RUDY J",Pending,LIBERTARIAN,UT,2020,ATTORNEY GENERAL,Open,1,794.92
"ZUCKERMAN, DAVID",Won,DEMOCRATIC,VT,2020,GOVERNOR,Open,1337,447642.22
"GRAY, MOLLY",Won,DEMOCRATIC,VT,2020,LIEUTENANT GOVERNOR,Open,362,191546.84
"SCOTT, PHILIP B",Won,REPUBLICAN,VT,2020,GOVERNOR,Incumbent,74,77736
"MILNE, SCOTT",Won,REPUBLICAN,VT,2020,LIEUTENANT GOVERNOR,Open,2,5297
"ERICSON, CRIS",Won,PROGRESSIVE,VT,2020,GOVERNOR,Open,0,0
"ERICSON, CRIS",Won,PROGRESSIVE,VT,2020,LIEUTENANT GOVERNOR,Open,0,0
"DONOVAN, THOMAS J (TJ)",Won,DEMOCRATIC,VT,2020,ATTORNEY GENERAL,Incumbent,22,18454.55
"CONDOS, JAMES C (JIM)",Won,DEMOCRATIC,VT,2020,SECRETARY OF STATE,Incumbent,4,522.98
"ERICSON, CRIS",Won,PROGRESSIVE,VT,2020,ATTORNEY GENERAL,Open,0,0
"PAIGE, H BROOKE",Won,REPUBLICAN,VT,2020,ATTORNEY GENERAL,Open,0,0
"ERICSON, CRIS",Won,PROGRESSIVE,VT,2020,SECRETARY OF STATE,Open,0,0
"PAIGE, H BROOKE",Won,REPUBLICAN,VT,2020,SECRETARY OF STATE,Open,0,0
"INSLEE, JAY",Won,DEMOCRATIC,WA,2020,GOVERNOR,Incumbent,21748,3293826.47
"HECK, DENNIS R (DENNY)",Won,DEMOCRATIC,WA,2020,LIEUTENANT GOVERNOR,Open,664,535656
"CULP, LOREN",Won,REPUBLICAN,WA,2020,GOVERNOR,Open,4310,424778.82
"LIIAS, MARKO",Won,DEMOCRATIC,WA,2020,LIEUTENANT GOVERNOR,Open,475,94197.21
"FERGUSON, BOB",Won,DEMOCRATIC,WA,2020,ATTORNEY GENERAL,Incumbent,21805,2435687.4
"WYMAN, KIM",Won,REPUBLICAN,WA,2020,SECRETARY OF STATE,Incumbent,3371,482831.14
"TARLETON, GAEL",Won,DEMOCRATIC,WA,2020,SECRETARY OF STATE,Open,924,267914.71
"LARKIN, MATT",Won,REPUBLICAN,WA,2020,ATTORNEY GENERAL,Open,358,152033.81
"JUSTICE JR, JAMES C (JIM)",Won,REPUBLICAN,WV,2020,GOVERNOR,Incumbent,787,2446023
"SALANGO, CARLOS BENJAMIN (BEN)",Won,DEMOCRATIC,WV,2020,GOVERNOR,Open,1913,1488429.54
"MORRISEY, PATRICK",Won,REPUBLICAN,WV,2020,ATTORNEY GENERAL,Incumbent,742,688154.73
"PETSONK, SAMUEL BROWN",Won,DEMOCRATIC,WV,2020,ATTORNEY GENERAL,Open,1410,337569.83
"WARNER, ANDREW MCCOY (MAC)",Won,REPUBLICAN,WV,2020,SECRETARY OF STATE,Incumbent,404,138874.97
"TENNANT, NATALIE ETHEL",Won,DEMOCRATIC,WV,2020,SECRETARY OF STATE,Open,543,115874.98
