name,state,description,website,donation_url,logo_url,issues
Arkansas Public Policy Panel,AR,"Long-standing organization with organizing capacity and a focus on African-American communities in rural southern Arkansas. Ramping up their voter engagement work, including c4.",http://arpanel.org/,,https://wp.movement.vote/wp-content/uploads/ArkansasPublicPolicyPanel-logo-250x250.jpg,"Economic Justice, Racial Justice"
Arkansas United Community Coalition (AUCC),AR,"An immigrant rights nonprofit that unites state-based organizations and people to empower immigrants and communities through leadership development, organizing, community participation and immigration service navigation. They engage in advocacy at all levels and drive civic engagement focused on low-propensity voters which have resulted in the largest turnout of voters of color in the Central and Little Rock District. They partnered with over ten African American organizations to create the New Majority Network, a pipeline of empowered civic leaders and candidates of color.",https://arkansasunited.org/,,https://wp.movement.vote/wp-content/uploads/ArkansasUnited_logo-250x250.jpg,"Education, Healthcare, Immigrant Rights, Voting Rights"
Alliance San Diego,CA,"Alliance San Diego focuses on building coalitions to promote social justice and social change. Hundreds of Alliance San Diego volunteers have brought tens of thousands of voters into the election process. In a county with nearly 1.5 million voters but regular participation rates of only 60%, their efforts have made a decisive difference in election after election. Their areas of expertise include strategic organizing, public policy advocacy, immigration reform and educational equity.",http://www.alliancesd.org,,https://wp.movement.vote/wp-content/uploads/AllianceSanDiego-logo-250x250.jpg,"Economic Justice, Immigrant Rights, Voting Rights"
Bay Area Rising Action,CA,"Building power of communities of color by working with grassroots organizations and supporting leaders with strong roots. It advocates for a world where all people participate in community control and political power, a home and the sanctuary to live without fear of criminalization.",https://bayrisingaction.org,,https://wp.movement.vote/wp-content/uploads/bay-area-logo.jpg,"Climate / Environment, Economic Justice, End Mass Criminalization, Healthcare, Immigrant Rights, Racial Justice, Voting Rights"
California Environmental Justice Alliance (CEJA) / Action,CA,"The California Environmental Justice Alliance is a statewide, community-led alliance that works to achieve environmental justice. Represents approximately 20,000 Asian Pacific American, Latino, and African American residents in the San Francisco Bay Area, San Joaquin Valley, Los Angeles, Inland Valley and San Diego/Tijuana area.",http://caleja.org/,https://secure.actblue.com/donate/ceja-action-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/CEJA-logo-250x250.jpg,Economic Justice
Communities for a Better Environment,CA,"Communities for a Better Environment works in low-income Latino and African American communities in Oakland, Richmond, Wilmington and Huntington Park. CBE combines community organizing, science-based advocacy, and legal intervention into a uniquely effective single strategy to successfully impact change in these target communities and develop campaigns to address health hazards in the community.",http://www.cbecal.org/,,https://wp.movement.vote/wp-content/uploads/CommunitiesForABetterEnvironment-logo-250x250.jpg,Climate / Environment
Communities for a New California,CA,"Communities for a New California is a statewide civil and human rights organization committed to achieving public policy that is socially, economically, and environmentally just for California’s families. Their areas of expertise include strategic organizing and public policy advocacy. Their geographic focus is in the Central Coast, San Joaquin Valley, Imperial and Coachella Valley.",http://www.anewcalifornia.org,,https://wp.movement.vote/wp-content/uploads/CommunitiesForANewCalifornia-logo-250x250.jpg,"Climate / Environment, Economic Justice, Immigrant Rights"
Engage San Diego Action Fund,CA,"The Engage San Diego Action Fund is dedicated to enhancing civic engagement and social justice in historically and systemically excluded communities of San Diego County by lifting up the rights and voices of people of color, working families, immigrants, women, and LGBTQ communities.",https://www.engagesandiegoaction.org,https://secure.actblue.com/donate/engage-san-diego-action-fund-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/EngageSanDiegoActionFund_logo-250x250.png,
Ground Game LA,CA,An organization that is strengthening the long-term engagement and power of the people of LA District 13. They are creating vast support systems that confront undue pressure put on vulnerable communities.,https://www.groundgamela.org,,https://wp.movement.vote/wp-content/uploads/ground_game-250x250.jpg,"Climate / Environment, End Mass Criminalization, Immigrant Rights, LGBTQ, Racial Justice, Reproductive Justice, Voting Rights"
KRC in Action,CA,"KRC in Action is a 501(c)(4) sister organization of the Korean Resource Center and has the goal of advocating for progressive legislation and policies that promote social, racial, and economic justice. KRC in Action trains and educates young Asian American & Pacific Islanders (AAPI) and Korean Americans to conduct such advocacy; and encourages the AAPI youth and Korean American communities to register, to vote, to run for elective office, and to participate in the democratic process.",https://kaction.org,https://secure.actblue.com/donate/krc-in-action-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/KRCinAction_logo-250x250.jpg,"Economic Justice, Racial Justice, Voting Rights"
LA Voice Action,CA,"LA Voice is a multi-racial, multi-faith community organization,uniting diverse faith voices to stand-up for what their communities need, winning changes that improve the lives of all Angelenos. In recent elections their volunteers and paid phone team of formerly incarcerated voters had nearly 60,000 conversations with voters across the county. LA Voice Action is hard at work to make their 57 (and growing) LA Voice congregations work to become “100% voting congregations” that have all of their eligible voters not only registered but showing up regularly to vote.",https://www.lavoice.org,https://secure.actblue.com/donate/la-voice-action-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/LA-Voice-250x250.jpg,"Economic Justice, End Mass Criminalization, Healthcare, Immigrant Rights, Racial Justice, Voting Rights"
Lift Up Contra Costa,CA,"A group of economic, labor, environmental & racial justice organizations that form a countywide civic engagement table that lifts up the voices of people of color, workers, tenants, formerly incarcerated folks, Black people, and immigrants, so that they can have an influence on the issues that impact their lives. LUCC played a crucial role in the primary win of now District Attorney Diana Becton, a Black woman committed to criminal justice reform.",https://www.facebook.com/safereturnteam/photos/join-uslift-up-contra-costa-lucc-is-a-group-of-economic-labor-environmental-raci/1720269601413310/,https://secure.actblue.com/donate/the-tides-advocacy-fund-lift-up-contra-costa-action-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/LUCC_logo-250x250.jpg,"Climate / Environment, Economic Justice, Racial Justice"
Orange County Voter Information Project,CA,"A nonprofit non-partisan organization that encourages civic participation and facilitates the voter registration process in order to increase voter turnout. It engages community members, regardless of political affiliation through canvassing, presentations, and dialogue that educates voters about non-partisan issues.",https://www.facebook.com/orangecountyvoterinformationproject/,,https://wp.movement.vote/wp-content/uploads/26840575_217897822115987_5364307293597101081_o-250x250.png,Voting Rights
People Organized for Westside Renewal (POWER),CA,People Organized for Westside Renewal (POWER) is a membership-based community organizing group that employs a community organizing strategy based on relationship building and direct action to create meaningful change in the neighborhoods where they work.,http://www.power-la.org,,https://wp.movement.vote/wp-content/uploads/PeopleOrganizedforWestsideRenewal-logo-250x250.jpg,"Climate / Environment, Economic Justice"
People's Action / People's Action Institute,CA,"A national organization with member groups in 26 states that is a powerful new force for democracy and economic fairness. They campaign for Health Care For All, a Caring Economy, Climate Justice, new rules for Wall Street and more. For the November elections, they’ve endorsed candidates and engaged voters. The Institute helps advance racial, economic, and gender justice by investing in local organizations and campaigns at the local and state level. They invest in scalable base-building, leadership development, digital organizing and more.",https://peoplesaction.org,,https://wp.movement.vote/wp-content/uploads/PeoplesAction_logo-250x250.png,"Climate / Environment, Economic Justice, Healthcare, LGBTQ, Racial Justice"
Power California,CA,"Power California harnesses the energy of young people of color and their families to create a state that is fair, inclusive, and just for everyone who calls California home. With partners throughout the state, they advance equity and justice for communities of color by advocating for criminal justice, immigrant, educational justice and other systems reforms–and by using art, stories and other other strategies to elevate underrepresented Californians’ voices and shift public will. Over the past two years, Power California has registered more than 40,000 young voters and engaged more than 200,000 voters in the last several elections.",https://powercalifornia.org,https://secure.actblue.com/donate/miv-action-fund-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/PowerCalifornia_logo-1-250x250.jpg,"Economic Justice, Immigrant Rights, Racial Justice, Voting Rights"
United We Dream / Action,CA,"United We Dream is the largest immigrant youth-led organization in the nation, with over 100,000 immigrant youth and allies and 55 affiliate organizations in 26 states. They organize and advocate for the dignity and fair treatment of immigrant youth and families, regardless of immigration status. UWD is at the forefront of efforts to stop the deportations of undocumented youth and their parents. They also strengthen alliances and support for DREAMers at the intersection of queer and immigrant rights.",https://unitedwedreamaction.org/,https://secure.actblue.com/donate/united-we-dream-action-1?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/UnitedWeDream-logo-250x250.jpg,"Immigrant Rights, LGBTQ, Racial Justice"
Urban Peace Movement,CA,"Urban Peace Movement (UPM) builds youth leadership in Oakland to transform the culture and social conditions that lead to community violence & mass incarceration in communities of color. UPM youth members work on policy and systems change; healing and culture change; and movement building. They engage in campaigns around issues that impact their lives, and on which they can effect change, holding elected officials accountable to their communities.",https://urbanpeacemovement.org,,https://wp.movement.vote/wp-content/uploads/UrbanPeaceMovement_logo-250x250.jpg,"Economic Justice, End Mass Criminalization, Racial Justice"
Colorado Criminal Justice Reform Coalition,CO,"The Colorado Criminal Justice Reform Coalition (CCJRC) fights to eliminate the overuse of the criminal justice system and advance community health and safety in Denver. They are led by people convicted of crime, survivors of crime, and the families and allies of both. CCJRC advocate and organize at multiple levels of government for public safety strategies that are more holistic, effective and just. For years, CCJRC has run the only civic engagement campaign in Colorado that focuses exclusively on people with criminal records. In addition to statewide voter education, CCJRC provides free trainings to election officials, GOTV efforts, Voter Registration Drives, community organizations, and members on the nuances of voting eligibility for people with criminal histories.",http://www.ccjrc.org/,https://secure.actblue.com/donate/mvmt-co-co-criminal-justice-reform-coalition-c3?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/55589.jpg,"End Mass Criminalization, Racial Justice"
Colorado Criminal Justice Reform Coalition 4 Action,CO,"The Colorado Criminal Justice Reform Coalition For Action (CCJRC 4Action), fights to eliminate the overuse of the criminal justice system and advance community health and safety in Denver. CCJRC advocates and organizes at multiple levels of government for public safety strategies that are more holistic, effective and just. For years, CCJRC has run the only civic engagement campaign in Colorado that focuses exclusively on people with criminal records.",https://www.ccjrc.org/,,https://wp.movement.vote/wp-content/uploads/ccjrc4-logo-250x250.png,"Economic Justice, Healthcare, Voting Rights"
Colorado Immigrant Rights Coalition / CIRC Action Fund,CO,"CIRC Action Fund works for a Colorado where all residents are treated with dignity and respect by advocating for pro-immigrant public policies and by increasing the civic participation of new Americans. They will be working in Pueblo, Adams, Weld, Denver, and Jefferson Counties to register, educate, and mobilize voters. They plan to push strong legislation that will define where candidates stand on immigrant rights, hold candidate forums, and work to support their champions.",http://circaction.org/,https://secure.actblue.com/donate/mvmt-co-circ-action-fund-c4?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/CIRCactionfund_logo-250x250.jpg,"End Mass Criminalization, Immigrant Rights, Racial Justice"
Colorado Organization for Latina Opportunity and Reproductive Rights (COLOR),CO,"A dynamic Latina-led group fighting for reproductive justice and its intersection with immigration, racial equity, LGBTQ liberation, criminal justice, environmental justice, and economic justice. Focused on building leadership among young Latinas, COLOR also engages in community and electoral organizing and policy advocacy. Their vote work includes voter registration, GOTV, and campaigning for a successful minimum wage increase.",http://colorlatina.org/,https://secure.actblue.com/contribute/page/thisisrj?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/COLOR-logo-250x250.jpg,"Economic Justice, Immigrant Rights, Racial Justice, Reproductive Justice"
Colorado People's Alliance / Action (COPA),CO,"An affiliate of People’s Action, COPA is a statewide, member-led, multi-racial organization focused on advancing and winning progressive social change across a range of issues. They combine organizing, voter engagement, and leadership development to build power statewide. In a recent election, they knocked on 80,000 doors, and helped win a statewide minimum wage increase despite fierce and well-funded opposition.",http://coloradopeoplesalliance.org/,https://secure.actblue.com/contribute/page/mvmt-co-colorado-peoples-action-c4?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/ColoradoPeoplesAlliance-logo-250x250.jpg,"Economic Justice, Immigrant Rights, Racial Justice"
New Era Colorado & Action Fund,CO,"A first-rate youth and student vote group that runs both large-scale voter mobilization and issue campaigns. An Alliance for Youth Action affiliate. New Era Colorado ran a huge 55,000 youth voter registration drive, a voter education program on 7 college campuses and distributed over 300,000 voter guides.",http://neweracolorado.org/,https://secure.actblue.com/contribute/page/mvmt-co-new-era-colorado-c4?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/NewEraColoradoFoundation-logo-250x250.jpg,"Climate / Environment, End Mass Criminalization, Voting Rights"
Padres y Jóvenes Unidos,CO,"This long-standing Latino base-building group is rooted in Southwest Denver. They organize across generations for racial justice and immigrant rights, equity in education, and run a data-driven voter engagement program.",http://www.padresunidos.org/,https://secure.actblue.com/contribute/page/mvmt-co-padres-y-jovenes-unidos-c3?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/PadresJovenesUnidos-logo-250x250.jpg,"Economic Justice, Immigrant Rights, Racial Justice"
Soul 2 Soul Sisters,CO,"Soul 2 Soul Sisters is based in Denver and is one of a few organizations in the country that unapologetically intersects Black faith/spiritualities, radical reproductive justice, increasing the power of Black voters, and reparations. They provide a Black Womxn-led, faith-based response to the anti-Black violence in the U.S and are leading a voter engagement campaign in 2020 focused on Black congregations organizing voter registration, education, and GOTV efforts.",https://soul2soulsisters.org/,https://soul2soulsisters.org/give/?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/soul2soulsisters-logo-250x250.jpg,"Education, Racial Justice, Religious Freedom, Reproductive Justice, Voting Rights"
CT Students for a Dream,CT,"A youth-led statewide network of undocumented students and allies across Connecticut fighting for the rights of their communities. They won a key tuition equity law and were the first to hold an Undocumented & Unafraid event in the state. Nationally known for their organizing work for the DREAM Act, DACA, and education. They are currently running civic engagement efforts to inform voters about immigrant justice.",http://www.ct4adream.org/,https://www.aplos.com/aws/give/CT4aDREAM/general?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/CT.jpg,"End Mass Criminalization, Immigrant Rights"
Alianza for Progress,FL,"Alianza for Progress organizes the Puerto Rican and Latinx communities across Florida, increasing civic engagement through voter registration and issue advocacy to help transform the state into a more equitable place. They are pushing forward key issues such as economic development and voting rights through their Avanzando Agenda (Moving Forward Agenda). Alianza has coordinated the Respeta Mi Gente coalition to mobilize the Puerto Rican vote in five Central Florida counties, including Orange and Osceola.",https://alianza.org/,https://secure.actblue.com/donate/mvp-alianza?refcode=crush2020,https://wp.movement.vote/wp-content/uploads/alianza-logo-250x250.jpg,"Climate / Environment, Economic Justice, Education, End Mass Criminalization, Healthcare, Immigrant Rights, LGBTQ, Racial Justice, Reproductive Justice, Voting Rights"
